Segment,Fold,Calibration,Class,ECE,MCE,ACE,MCS,Directionality
04_HA,3,Orig,Avian,0.0107,0.319,0.0081,0.0024,BALANCED
04_HA,3,Orig,Non-human Mammal,0.233,0.6528,0.2314,0.2313,OVERCONF
04_HA,3,Cal,Human,0.0014,0.3386,0.0011,-0.0011,BALANCED
04_HA,3,Cal,Avian,0.0008,0.4766,0.0008,0.0007,BALANCED
04_HA,3,Cal,Non-human Mammal,0.0005,0.5178,0.0012,0.0003,BALANCED
04_HA,4,Orig,Human,0.291,0.5543,0.2872,-0.2776,UNDERCONF
04_HA,4,Orig,Avian,0.0297,0.4062,0.025,0.0111,BALANCED
04_HA,4,Orig,Non-human Mammal,0.2734,0.4956,0.2664,0.2664,OVERCONF
04_HA,4,Cal,Human,0.0013,0.2744,0.0015,-0.001,BALANCED
04_HA,4,Cal,Avian,0.0009,0.5733,0.0008,0.0008,BALANCED
04_HA,4,Cal,Non-human Mammal,0.0004,0.3097,0.0008,0.0002,BALANCED
04_HA,5,Orig,Human,0.2355,0.5449,0.2339,-0.2287,UNDERCONF
04_HA,5,Orig,Avian,0.0183,0.3097,0.0138,0.0051,BALANCED
04_HA,5,Orig,Non-human Mammal,0.2259,0.4726,0.2236,0.2236,OVERCONF
04_HA,5,Cal,Human,0.0014,0.2289,0.0011,-0.0011,BALANCED
04_HA,5,Cal,Avian,0.0011,0.6205,0.0007,0.0007,BALANCED
04_HA,5,Cal,Non-human Mammal,0.0005,0.3203,0.001,0.0004,BALANCED
04_HA,6,Orig,Human,0.2303,0.5803,0.2278,-0.2236,UNDERCONF
04_HA,6,Orig,Avian,0.042,0.416,0.0361,0.0361,OVERCONF
04_HA,6,Orig,Non-human Mammal,0.1949,0.3453,0.1875,0.1875,OVERCONF
04_HA,6,Cal,Human,0.0016,0.317,0.0012,-0.0011,BALANCED
04_HA,6,Cal,Avian,0.0012,0.7578,0.0013,0.0012,BALANCED
04_HA,6,Cal,Non-human Mammal,0.0007,0.2959,0.0006,-0.0,BALANCED
04_HA,7,Orig,Human,0.2503,0.5148,0.2483,-0.2434,UNDERCONF
04_HA,7,Orig,Avian,0.0305,0.3345,0.0241,0.0176,BALANCED
04_HA,7,Orig,Non-human Mammal,0.2325,0.4736,0.2258,0.2258,OVERCONF
04_HA,7,Cal,Human,0.0013,0.3527,0.001,-0.0009,BALANCED
04_HA,7,Cal,Avian,0.001,0.4425,0.001,0.001,BALANCED
04_HA,7,Cal,Non-human Mammal,0.0003,0.3628,0.0008,-0.0,BALANCED
04_HA,8,Orig,Human,0.1858,0.4773,0.1815,-0.1696,UNDERCONF
04_HA,8,Orig,Avian,0.0252,0.4313,0.0224,0.0043,BALANCED
04_HA,8,Orig,Non-human Mammal,0.172,0.4097,0.1654,0.1654,OVERCONF
04_HA,8,Cal,Human,0.001,0.2471,0.001,-0.0008,BALANCED
04_HA,8,Cal,Avian,0.0008,0.7401,0.0008,0.0008,BALANCED
04_HA,8,Cal,Non-human Mammal,0.0003,0.3772,0.0008,0.0001,BALANCED
04_HA,9,Orig,Human,0.1944,0.4818,0.1901,-0.1784,UNDERCONF
04_HA,9,Orig,Avian,0.0329,0.4164,0.0277,0.0105,BALANCED
04_HA,9,Orig,Non-human Mammal,0.1773,0.4165,0.1679,0.1679,OVERCONF
04_HA,9,Cal,Human,0.0011,0.1969,0.0016,-0.0008,BALANCED
04_HA,9,Cal,Avian,0.0009,0.4199,0.0007,0.0006,BALANCED
04_HA,9,Cal,Non-human Mammal,0.0002,0.2073,0.0009,0.0002,BALANCED
05_NP,0,Orig,Human,0.1205,0.4441,0.1188,-0.1152,UNDERCONF
05_NP,0,Orig,Avian,0.0207,0.4672,0.0197,0.0117,BALANCED
05_NP,0,Orig,Non-human Mammal,0.1056,0.391,0.1035,0.1035,OVERCONF
05_NP,0,Cal,Human,0.0023,0.3506,0.0016,-0.0016,BALANCED
05_NP,0,Cal,Avian,0.0016,0.649,0.0018,0.0016,BALANCED
05_NP,0,Cal,Non-human Mammal,0.0011,0.3109,0.0009,0.0,BALANCED
05_NP,1,Orig,Human,0.1156,0.5759,0.1147,-0.1119,UNDERCONF
05_NP,1,Orig,Avian,0.0198,0.3352,0.0184,0.011,BALANCED
05_NP,1,Orig,Non-human Mammal,0.1033,0.4317,0.1009,0.1009,OVERCONF
05_NP,1,Cal,Human,0.0018,0.3083,0.0012,-0.0012,BALANCED
05_NP,1,Cal,Avian,0.0013,0.5516,0.0013,0.0012,BALANCED
05_NP,1,Cal,Non-human Mammal,0.0008,0.3424,0.0013,-0.0,BALANCED
05_NP,2,Orig,Human,0.1049,0.4468,0.1029,-0.102,UNDERCONF
05_NP,2,Orig,Avian,0.0149,0.5372,0.0141,0.0118,BALANCED
